pregunta,a,b,c,d,correcta,materia,tema
La continuidad de f(x) en x=a requiere que:,lim_{x→a} f(x)=f(a),f(a) esté definida,El límite exista,Todas las anteriores,d,Matemáticas,Límites
La derivada de f(x)=aˣ (a>0 a≠1) es:,aˣ ln(a),aˣ,eˣ,xaˣ⁻¹,a,Matemáticas,La derivada
La regla para derivar un cociente f(x)/g(x) es:,[f'(x)g(x)-f(x)g'(x)]/[g(x)]²,[f'(x)g(x)+f(x)g'(x)]/[g(x)]²,f'(x)/g'(x),[f(x)g'(x)-g(x)f'(x)]/[g(x)]²,a,Matemáticas,La derivada
La derivada de f(x)=arcsen(x) es:,1/√(1-x²),1/(1+x²),-1/√(1-x²),1/√(x²-1),a,Matemáticas,La derivada
Si f'(c)=0 y f''(c)<0 entonces en x=c f tiene:,Un máximo relativo,Un mínimo relativo,Un punto de inflexión,Un punto silla,a,Matemáticas,La derivada
La aceleración es la derivada de:,La velocidad,La posición,El desplazamiento,La rapidez,a,Matemáticas,La derivada
Hallar dos números positivos con producto 16 y suma mínima se resuelve con:,Optimización usando derivadas,Integral definida,Límites al infinito,Teorema del Valor Medio,a,Matemáticas,La derivada
La integral ∫(2x+1)³ dx se puede resolver por:,Sustitución simple u=2x+1,Integración por partes,Fracciones parciales,Integral inmediata,a,Matemáticas,La integral
La integral ∫x eˣ dx es:,eˣ(x-1)+C,eˣ(x+1)+C,x eˣ+C,eˣ+C,a,Matemáticas,La integral
La integral ∫sin²(x) dx requiere usar:,sin²(x)=(1-cos(2x))/2,sin²(x)=1-cos²(x),sin(2x)=2sin(x)cos(x),cos²(x)-sin²(x)=cos(2x),a,Matemáticas,La integral
El área entre y=x² e y=2x en [0 2] se calcula con:,∫₀² (2x-x²) dx,∫₀² (x²-2x) dx,∫₀² √(2x-x²) dx,∫₀² (2x+x²) dx,a,Matemáticas,La integral
El valor promedio de f(x)=x² en [0 3] es:,3,9,1,4.5,a,Matemáticas,La integral
El número complejo que satisface z²=-9 es:,3i y -3i,3 y -3,9i y -9i,√9 y -√9,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
La expresión (xⁿ-aⁿ) es divisible entre (x-a) para n entero positivo. Esto es el:,Teorema del Factor,Teorema del Residuo,Binomio de Newton,Propiedad distributiva,a,Matemáticas,Productos notables y factorización
Al resolver 1/(x+1)+1/(x-1)=1 se obtiene:,x=±√2,x=0,x=1,x=2,a,Matemáticas,Ecuaciones
La desigualdad x²-4≤0 tiene solución:,-2≤x≤2,x≤-2 o x≥2,x≤2,x≥-2,a,Matemáticas,Desigualdades
Para que un sistema 3x3 tenga solución única el determinante debe ser:,Diferente de cero,Cero,Positivo,Negativo,a,Matemáticas,Sistemas de ecuaciones
La función f(x)=√(x) tiene dominio:,[0 ∞),(0 ∞),(-∞ ∞),(-∞ 0],a,Matemáticas,Funciones algebraicas
La función f(x)=1/x es:,Impar,Par,Ni par ni impar,Periódica,a,Matemáticas,Funciones algebraicas
El valor de sen(π/2) es:,1,0,-1,√2/2,a,Matemáticas,Trigonometría y Funciones Trigonométricas
La función cos(x) es par porque:,cos(-x)=cos(x),cos(-x)=-cos(x),cos(x+2π)=cos(x),cos(π-x)=-cos(x),a,Matemáticas,Trigonometría y Funciones Trigonométricas
f(x)=2ˣ y g(x)=log₂(x) son:,Funciones inversas,Funciones iguales,Funciones crecientes,Funciones decrecientes,a,Matemáticas,Funciones exponenciales y logarítmicas
La pendiente de la recta que forma un ángulo de 45° con el eje X es:,1,√3/2,√2/2,0,a,Matemáticas,Geometría Analítica: Recta
La ecuación de la circunferencia con centro en (0 0) que pasa por (3 4) es:,x²+y²=25,x²+y²=5,x²+y²=9,x²+y²=16,a,Matemáticas,Geometría Analítica: Cónicas
El vértice de la parábola y=x²-6x+10 está en:,(3 1),(-3 1),(3 -1),(-3 -1),a,Matemáticas,Geometría Analítica: Cónicas
Los focos de la elipse x²/100+y²/36=1 están en:,(±8 0),(0 ±8),(±10 0),(0 ±6),a,Matemáticas,Geometría Analítica: Cónicas
La ecuación 4x²-y²=16 representa una hipérbola con eje focal en el:,Eje X,Eje Y,Recta y=x,Origen,a,Matemáticas,Ecuación general de segundo grado
La traslación para eliminar términos lineales en x²+y²-4x+6y+4=0 es:,h=2 k=-3,h=-2 k=3,h=4 k=-6,h=-4 k=6,a,Matemáticas,Ecuación general de segundo grado
El límite lim_{x→1} (x³-1)/(x-1) es:,3,1,0,No existe,a,Matemáticas,Límites
Si f es continua en [a b] y derivable en (a b) existe c en (a b) tal que f'(c)=[f(b)-f(a)]/(b-a). Esto es el:,Teorema del Valor Medio,Teorema de Rolle,Teorema del Valor Intermedio,Teorema Fundamental,a,Matemáticas,Límites
La derivada de f(x)=x^x es:,x^x(1+ln x),x^x ln x,x^{x-1},x^x/ln x,a,Matemáticas,La derivada
Un punto de inflexión de f(x)=x³-3x² es:,(1 -2),(0 0),(2 -4),(3 0),a,Matemáticas,La derivada
La integral ∫dx/√(1-x²) es:,arcsen(x)+C,arccos(x)+C,arctan(x)+C,ln|√(1-x²)|+C,a,Matemáticas,La integral
El área bajo f(x)=1/x desde x=1 a x=e es:,1,0,e,ln(e)-ln(1)=1,a,Matemáticas,La integral
El valor de la expresión (√8 * √18) / √2 es:,6,12,√6,3,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
La forma binomial del número complejo 4(cos(π/3) + i sen(π/3)) es:,2 + 2√3 i,2√3 + 2i,4 + 4√3 i,2√3 + 4i,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
El sexto término del desarrollo de (x + 2y)^8 es:,1792 x³ y⁵,1120 x⁵ y³,448 x⁶ y²,560 x⁴ y⁴,a,Matemáticas,Productos notables y factorización
Si (x-3) es factor del polinomio P(x)=2x³ + kx² - 23x + 12| el valor de k es:,-5,-3,3,5,a,Matemáticas,Productos notables y factorización
La suma de las soluciones de la ecuación 1/(x-2) + 1/(x+2) = 3/4 es:,0,2,8/3,4,a,Matemáticas,Ecuaciones
La ecuación (x-1)²/2 = 2x - 3 tiene:,Una solución real,Dos soluciones reales,Una solución doble,Ninguna solución real,a,Matemáticas,Ecuaciones
El conjunto solución de la desigualdad (x-3)/(x+1) ≥ 0 es:,(-∞ -1) U [3 ∞),[-1 3],(-∞ -1] U [3 ∞),(-1 3),a,Matemáticas,Desigualdades
Para qué valor de a el sistema { ax + 2y = 6; 3x + (a-1)y = 9 } tiene infinitas soluciones?,a=3,a=-2,a=2,a=-3,a,Matemáticas,Sistemas de ecuaciones
La regla de correspondencia de una función que asigna a cada número su cubo disminuido en 2 es:,f(x)=x³-2,f(x)=3x-2,f(x)=(x-2)³,f(x)=x-2³,a,Matemáticas,Funciones algebraicas
Si f(x)=x/(x+1)| entonces f(f(2)) es igual a:,2/5,2/3,4/9,1/2,a,Matemáticas,Funciones algebraicas
El valor de cos(15°) usando ángulos compuestos (cos(45°-30°)) es:,(√6+√2)/4,(√6-√2)/4,√3/2,1/√2,a,Matemáticas,Trigonometría y Funciones Trigonométricas
Si en un triángulo ABC, a=8, b=6 y el ángulo C=60°, la longitud del lado c es:,2√13,√52,10,2√7,a,Matemáticas,Trigonometría y Funciones Trigonométricas
La solución de la ecuación log(x+1) + log(x-1) = log 3 es:,x=2,x=-2,x=2 y x=-2,x=√2,a,Matemáticas,Funciones exponenciales y logarítmicas
El dominio de la función f(x) = ln(4 - x²) es:,(-2 2),[-2 2],(-∞ -2) U (2 ∞),(-∞ -2] U [2 ∞),a,Matemáticas,Funciones exponenciales y logarítmicas
Las coordenadas del punto que divide al segmento de A(-3 1) a B(5 7) en la razón 3:1 son:,(3 5.5),(0 4),(1 5.5),(3 4),a,Matemáticas,Geometría Analítica: Recta
La ecuación de la recta que pasa por la intersección de 2x-y=3 y x+y=6 y es paralela a 4x+2y=7 es:,2x+y=9,2x+y=11,4x+2y=15,x+2y=9,a,Matemáticas,Geometría Analítica: Recta
El área del triángulo cuyos vértices son A(0 0)| B(4 1) y C(1 4) es:,7.5 u²,6.5 u²,8 u²,15 u²,a,Matemáticas,Geometría Analítica: Recta
La ecuación de la circunferencia que pasa por los puntos (0 0)| (4 0) y (0 3) es:,x²+y²-4x-3y=0,x²+y²-4x-3y+7=0,(x-2)²+(y-1.5)²=6.25,(x+2)²+(y+1.5)²=6.25,a,Matemáticas,Geometría Analítica: Cónicas
La ecuación de la parábola con vértice (2 -1) y foco (2 1) es:,(x-2)² = 8(y+1),(x-2)² = -8(y+1),(y+1)² = 8(x-2),(y+1)² = -8(x-2),a,Matemáticas,Geometría Analítica: Cónicas
La longitud del eje mayor de la elipse 9x² + 4y² - 36x + 8y + 4 = 0 es:,6 unidades,4 unidades,2√5 unidades,3 unidades,a,Matemáticas,Geometría Analítica: Cónicas
La ecuación de la hipérbola con centro (0 0)| un vértice en (0 4) y una asíntota y = (4/3)x es:,y²/16 - x²/9 = 1,x²/9 - y²/16 = 1,y²/9 - x²/16 = 1,x²/16 - y²/9 = 1,a,Matemáticas,Geometría Analítica: Cónicas
La ecuación 2x² + 2y² - 4x + 8y - 1 = 0 representa una circunferencia. Su centro es:,(1 -2),(-1 2),(2 -4),(-2 4),a,Matemáticas,Ecuación general de segundo grado
Mediante una traslación de ejes| la ecuación xy - 2x + 3y - 6 = 0 puede transformarse en una ecuación de la forma X'Y' = k. El valor de k es:,12,-12,6,-6,a,Matemáticas,Ecuación general de segundo grado
El valor del límite lim_{x→0} (√(x+4) - 2)/x es:,1/4,0,1/2,No existe,a,Matemáticas,Límites
El límite lim_{x→-∞} (√(4x²+1))/(x+2) es:,-2,2,0,∞,a,Matemáticas,Límites
Una función f(x) es continua en un intervalo cerrado [a b] si es continua en (a b) y además:,lim_{x→a⁺} f(x)=f(a) y lim_{x→b⁻} f(x)=f(b),f(a)=f(b),f'(x) existe en (a b),Ninguna de las anteriores,a,Matemáticas,Límites
La derivada de f(x) = (2x³ - 1)^100 es:,600x²(2x³ - 1)^99,100(2x³ - 1)^99,600x²(2x³ - 1)^100,300x²(2x³ - 1)^99,a,Matemáticas,La derivada
La derivada de y = x / (x²+1) es:,(1 - x²)/(x²+1)²,(x² - 1)/(x²+1)²,(1)/(x²+1)²,(2x)/(x²+1)²,a,Matemáticas,La derivada
Usando derivación implícita| dy/dx para e^(xy) = x + y es:,(1 - y e^(xy))/(x e^(xy) - 1),(y e^(xy) - 1)/(1 - x e^(xy)),(1)/(e^(xy)-1),(1 - y)/(x-1),a,Matemáticas,La derivada
La segunda derivada de f(x) = ln(3x+1) es:,-9/(3x+1)²,3/(3x+1)²,9/(3x+1)²,-3/(3x+1)²,a,Matemáticas,La derivada
La ecuación de la tangente a la curva y = √x en el punto donde x=4 es:,x - 4y + 4 = 0,4x - y - 4 = 0,x - 4y - 4 = 0,4x - y + 4 = 0,a,Matemáticas,La derivada
Si la posición de una partícula es s(t)=t² - 4t + 3 (t≥0)| ¿en qué instante cambia de dirección (velocidad cero)?,t=2,t=0,t=1,t=3,a,Matemáticas,La derivada
Los intervalos donde f(x)=x³ - 6x² + 9x + 1 es creciente son:,(-∞ 1) U (3 ∞),(-∞ 1] U [3 ∞),(1 3),(-∞ ∞),a,Matemáticas,La derivada
El valor mínimo absoluto de f(x)=x⁴ - 8x² + 16 en el intervalo [-1 3] es:,0,7,16,-9,a,Matemáticas,La derivada
Los puntos de inflexión de f(x)=x⁴ - 4x³ se encuentran en:,x=0 y x=2,x=0,x=2,x=3,a,Matemáticas,La derivada
Se desea construir una caja con base cuadrada y abierta por arriba| con 300 cm² de material. La longitud del lado de la base que maximiza el volumen es:,10 cm,5√6 cm,10√2 cm,15 cm,a,Matemáticas,La derivada
La integral ∫(2x-1)^50 dx es:,(1/102)(2x-1)^51 + C,(1/51)(2x-1)^51 + C,50(2x-1)^49 + C,(1/50)(2x-1)^50 + C,a,Matemáticas,La integral
El valor de la integral definida ∫_{-1}^{1} (x³ + 2x) dx es:,0,1,2,4,a,Matemáticas,La integral
La integral ∫ x² e^{x³} dx es:,(1/3) e^{x³} + C,e^{x³} + C,3 e^{x³} + C,x³ e^{x³} + C,a,Matemáticas,La integral
Aplicando el método de integración por partes a ∫ x ln(x) dx (con u=ln x)| el resultado es:,(x²/2) ln x - (x²/4) + C,x ln x - x + C,(1/2)(ln x)² + C,x² ln x - x² + C,a,Matemáticas,La integral
La integral ∫ cos(3x) sen(3x) dx es:,-(1/6) cos²(3x) + C,(1/6) sen²(3x) + C,(1/2) sen(6x) + C,-(1/12) cos(6x) + C,a,Matemáticas,La integral
La integral ∫ dx / (x ln x) es:,ln|ln x| + C,1/(ln x)² + C,ln x + C,1/x + C,a,Matemáticas,La integral
El área de la región limitada por la curva y = 4 - x² y el eje X es:,32/3,16/3,64/3,8,a,Matemáticas,La integral
Si F'(x) = 3x² - 2x y F(1)=4| entonces F(2) es igual a:,6,8,10,12,a,Matemáticas,La integral
El resultado de sumar los números complejos (1+2i)| (-3+i) y (2-4i) es:,0 - i,6 - i,0 + 7i,-2 - i,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
El módulo del producto (3+4i)(3-4i) es:,25,5,7,1,a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
Al simplificar la expresión (a² - b²)/(a-b) para a≠b| se obtiene:,a+b,a-b,1,(a²+b²)/(a-b),a,Matemáticas,Operaciones con núm. reales complejos y expr. algebraicas
El término central en el desarrollo de (x + 1/x)^6 es:,20,15,6,1,a,Matemáticas,Productos notables y factorización
Si al dividir P(x)=x³ - 4x² + kx - 8 entre (x-2) el residuo es 0| entonces k vale:,6,4,2,8,a,Matemáticas,Productos notables y factorización
La ecuación (2x-1)(x+3)=0 tiene por conjunto solución:,\{1/2, -3\},\{-1/2, 3\},\{0.5, 3\},\{-0.5, -3\},a,Matemáticas,Ecuaciones
El discriminante de la ecuación mx² + 2x + 1 = 0 es 0. El valor de m es:,1,2,1/2,4,a,Matemáticas,Ecuaciones
La solución de la desigualdad -2x + 5 ≤ 3x + 10 es:,x ≥ -1,x ≤ -1,x ≥ 1,x ≤ 1,a,Matemáticas,Desigualdades
El sistema { x + 2y = 4; 2x + 4y = 8 } es:,Dependiente (infinitas soluciones),Independiente (solución única),Inconsistente (sin solución),Homogéneo,a,Matemáticas,Sistemas de ecuaciones
¿Cuál de las siguientes NO es una función? ,y = ±√x,y = x²,y = 2x+1,y = |x|,a,Matemáticas,Funciones algebraicas
La función f(x)=1 si x es racional|0 si x es irracional| es:,Discontinua en todo punto,Continua en los racionales,Continua en 0,Continua en los irracionales,a,Matemáticas,Funciones algebraicas
La operación (f * g)(x) si f(x)=x-1 y g(x)=x+1 es:,(x-1)(x+1)=x²-1,x-1+x+1=2x,(x-1)/(x+1),1,a,Matemáticas,Funciones algebraicas
La expresión sen(π/2 + θ) es igual a:,cos θ,-cos θ,sen θ,-sen θ,a,Matemáticas,Trigonometría y Funciones Trigonométricas
La función y = 2 sen(x - π/4) tiene un desplazamiento de fase de:,π/4 a la derecha,π/4 a la izquierda,π/2 a la derecha,π/2 a la izquierda,a,Matemáticas,Trigonometría y Funciones Trigonométricas
El rango de la función f(x) = 2 + 3 cos(5x) es:,[-1 5],[-1 1],[2 5],[-3 3],a,Matemáticas,Trigonometría y Funciones Trigonométricas
La función f(x)=e^{-x} es:,Decreciente en todo su dominio,Creciente en todo su dominio,Constante,Par,a,Matemáticas,Funciones exponenciales y logarítmicas
La asíntota vertical de f(x)=ln(2-x) es:,x=2,x=0,y=2,y=0,a,Matemáticas,Funciones exponenciales y logarítmicas
La distancia del punto (3 5) a la recta y = 2x - 1 es:,0,√5,2,2/√5,a,Matemáticas,Geometría Analítica: Recta
La pendiente de la recta perpendicular a la que pasa por (1 2) y (4 8) es:,-1/2,-2,-1/6,-6,a,Matemáticas,Geometría Analítica: Recta
La ecuación de la mediana desde el vértice A(1 3) en un triángulo con B(-2 1) y C(4 5) es:,2x - 3y + 7 = 0,3x - 2y + 3 = 0,x + y - 4 = 0,2x + y - 5 = 0,a,Matemáticas,Geometría Analítica: Recta
El radio de la circunferencia x² + y² + 8x - 6y = 0 es:,5,√10,√13,25,a,Matemáticas,Geometría Analítica: Cónicas
El lado recto de la parábola (y-1)² = 12(x+2) mide:,12,6,3,24,a,Matemáticas,Geometría Analítica: Cónicas
La excentricidad de la elipse 16x² + 25y² = 400 es:,3/5,4/5,√41/5,5/3,a,Matemáticas,Geometría Analítica: Cónicas
La distancia entre los focos de la hipérbola x²/9 - y²/16 = 1 es:,10,8,6,2√7,a,Matemáticas,Geometría Analítica: Cónicas
La ecuación 4x² - y² - 8x + 6y - 1 = 0 representa una hipérbola. Su centro está en:,(1 3),(1 -3),(-1 3),(-1 -3),a,Matemáticas,Ecuación general de segundo grado
Para la ecuación Ax² + Bxy + Cy² + Dx + Ey + F = 0| si B² - 4AC = 0| la cónica es una:,Parábola,Elipse,Hipérbola,Circunferencia,a,Matemáticas,Ecuación general de segundo grado
El límite lim_{x→π/2} (tan x) es:,No existe (tiende a infinito),0,1,π/2,a,Matemáticas,Límites
El límite lim_{x→0} (e^x - 1)/x es:,1,0,e,No existe,a,Matemáticas,Límites
La función f(x)=|x-1|/(x-1) es discontinua en x=1. Esta discontinuidad es:,Por salto,Removible,Infinita,Evitable,a,Matemáticas,Límites
La derivada de f(x)=5 es:,0,5,5x,Indefinida,a,Matemáticas,La derivada
La derivada de f(x)=x² sen x es:,2x sen x + x² cos x,2x cos x,x² cos x,2x sen x - x² cos x,a,Matemáticas,La derivada
La derivada de f(x)=arctan(3x) es:,3/(1+9x²),1/(1+9x²),3/(1+x²),1/(1+3x²),a,Matemáticas,La derivada
Un punto crítico donde f'(x) no existe es llamado:,Punto singular,Punto estacionario,Punto de inflexión,Punto extremo,a,Matemáticas,La derivada
Si el ingreso marginal es la derivada de la función ingreso| entonces el ingreso por vender la unidad 101 se aproxima con:,R'(100),R(101)-R(100),R'(101),R(101),a,Matemáticas,La derivada
La integral ∫ sec²(5x) dx es:,(1/5) tan(5x) + C,tan(5x) + C,5 tan(5x) + C,sec(5x) tan(5x) + C,a,Matemáticas,La integral
La integral ∫ (x+1) / (x²+2x+5) dx se puede resolver con:,Sustitución u=x²+2x+5,Fracciones parciales,Integración por partes,Identidad trigonométrica,a,Matemáticas,La integral
El área entre las gráficas de y=x² y y=x³ en el intervalo [0 1] es:,1/12,1/6,1/4,1/3,a,Matemáticas,La integral
Si la velocidad de un móvil es v(t)=3t²-2t+1 y en t=0 está en s=2| la posición en t=2 es:,8,6,10,4,a,Matemáticas,La integral
El valor promedio de la función f(x)=sen x en el intervalo [0 π] es:,2/π,1/π,0,1,a,Matemáticas,La integral